dtp_id,moment_date,year,month,day_of_week,hour,time_of_day,season,is_weekend,is_night,is_rush_hour,type_code,type_name_decoded,type_group,severity,dead_count,injured_count,dead_children_count,injured_children_count,vehicles_count,participant_count,area_id,district_id,source_year,place_latitude,place_longitude,road_type_code,street_name,road_name,road_loc,traffic_lane_amount,srf_code,road_sign_code
502495627,2022-01-07,2022,1,4,10,Утро (6–12),Зима,False,False,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,1,0,0,1,2,10,2,input/2022,55.682799,37.841206,,Новорязанское ш,,,5.0,Асфальтобетонное,
502514627,2022-01-07,2022,1,4,13,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,2,0,0,3,4,6,114,input/2022,55.857196,37.39641,,,Московская кольцевая автомобильная дорога (МКАД) внешняя сторона,71.05,5.0,Асфальтобетонное,
502538227,2022-01-07,2022,1,4,14,День (12–18),Зима,False,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,6,19,input/2022,55.78111,37.449206,,,,,1.0,Асфальтобетонное,
502569227,2022-01-07,2022,1,4,17,День (12–18),Зима,False,False,True,1,Столкновение ТС,Столкновение,Гибель,1,2,0,0,2,3,8,88,input/2022,55.722802,37.555497,,Хамовнический Вал ул,,,7.0,"Асфальтобетонное, с поверхностной обработкой",
502573627,2022-01-07,2022,1,4,22,Ночь (22–6),Зима,False,True,False,3,Наезд на стоящее ТС,Наезд на ТС,Ранение,0,2,0,0,3,3,2,106,input/2022,55.775535,37.442061,,Крылатская ул,,,4.0,"Асфальтобетонное, с поверхностной обработкой",
502622027,2022-01-07,2022,1,4,14,День (12–18),Зима,False,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,10,2,input/2022,55.70973,37.811615,,Сормовская ул,,,2.0,Асфальтобетонное,
502571027,2022-01-07,2022,1,4,16,День (12–18),Зима,False,False,False,5,Наезд на пешехода,Пешеходный конфликт,Гибель,1,0,0,0,1,2,4,59,input/2022,55.81249,37.572577,,,,,1.0,Асфальтобетонное,
502606627,2022-01-07,2022,1,4,17,День (12–18),Зима,False,False,True,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,5,133,input/2022,55.875004,37.665843,,Староватутинский проезд,,,2.0,Асфальтобетонное,
502477027,2022-01-07,2022,1,4,0,Ночь (22–6),Зима,False,True,False,3,Наезд на стоящее ТС,Наезд на ТС,Ранение,0,2,0,0,2,2,11,10,input/2022,55.625113,37.47546,,,Московская кольцевая автомобильная дорога (МКАД) внешняя сторона,43,6.0,Асфальтобетонное,
502614227,2022-01-07,2022,1,4,17,День (12–18),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,10,136,input/2022,55.752037,37.716869,,Авиамоторная ул,,,2.0,Асфальтобетонное,
