dtp_id,year,type_group,severity,has_speed_violation,has_priority_violation,has_pedestrian_conflict,has_bad_road_condition,has_young_driver,has_novice_driver,has_truck,has_bus,has_taxi,has_motorcycle,is_night,is_weekend,is_rush_hour,time_of_day,season,dead_count,injured_count,participant_count
503516627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,3
503930427,2022,Прочее,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,2
509258427,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,2
503494027,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,2
502861427,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
503503227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,День (12–18),Зима,0,2,4
504385027,2022,Прочее,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,False,False,Нет,Да,Нет,День (12–18),Зима,0,1,2
503530227,2022,Пешеходный конфликт,Ранение,Нет,Да,Да,Нет,Нет,Нет,True,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,2
502831827,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Да,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502862227,2022,Пешеходный конфликт,Ранение,Нет,Да,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,2
502869627,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
503195827,2022,Прочее,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
503272827,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Да,Нет,Нет,True,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
504301027,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,Утро (6–12),Зима,0,1,2
503225227,2022,Столкновение,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,True,False,False,Нет,Нет,Да,Утро (6–12),Зима,0,2,4
503501227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,3
503413027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,2
503201827,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Да,Нет,Нет,False,False,False,False,Нет,Нет,Да,Утро (6–12),Зима,0,1,2
